gps_time,heading,pitch,roll,gyroX,gyroY,gyroZ,accX,accY,accZ,latitude,longitude,east_speed,north_speed,position_type,GNSS_info1,GNSS_info2,vehicle_lat_speed,vehicle_lon_speed
20374170,171.78,-1.03,0.51,0.14697000000000002,0.08372,-0.40532,-0.008766,-0.0182,0.9979699999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374190,171.78,-1.03,0.51,0.09568,0.07004,-0.34730000000000005,-0.008754,-0.018255999999999998,0.998112,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374210,171.78,-1.03,0.51,0.09071000000000001,0.06176,-0.39755,-0.008699,-0.017984999999999998,0.998018,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374230,171.78,-1.03,0.51,0.09222000000000001,0.14661000000000002,-0.33636000000000005,-0.008742,-0.018234999999999998,0.9983299999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374250,171.78,-1.03,0.51,0.056900000000000006,0.09477000000000001,-0.3396,-0.008615,-0.018206,0.998405,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374270,171.78,-1.03,0.51,0.023530000000000002,0.03821,-0.40376,-0.008787999999999999,-0.018272999999999998,0.998065,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374290,171.78,-1.03,0.51,0.08524000000000001,0.07932,-0.37476000000000004,-0.008921,-0.018264,0.9981329999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374310,171.78,-1.03,0.51,0.11426000000000001,0.09473000000000001,-0.40134000000000003,-0.008754,-0.018054,0.998296,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374330,171.78,-1.03,0.51,0.036570000000000005,0.07388,-0.33941000000000004,-0.008783,-0.018468,0.9980249999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374350,171.78,-1.03,0.51,0.10242000000000001,0.12345,-0.37154000000000004,-0.008603,-0.018161999999999998,0.998173,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374370,171.78,-1.03,0.51,0.09926000000000001,0.033150000000000006,-0.38932000000000005,-0.008725,-0.018149,0.998069,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374390,171.78,-1.03,0.5,0.06361,0.08835000000000001,-0.34849,-0.008721,-0.018157,0.9983219999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374410,171.78,-1.03,0.51,0.022840000000000003,0.03071,-0.39822,-0.008923,-0.01795,0.998281,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374430,171.78,-1.03,0.51,0.09450000000000001,0.09875,-0.33389,-0.008789,-0.018217,0.9981279999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374450,171.78,-1.03,0.51,0.052890000000000006,0.07383,-0.34193,-0.008685,-0.018047,0.99805,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374470,171.78,-1.03,0.51,0.06678,0.1062,-0.35677000000000003,-0.008661,-0.018222,0.998031,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374490,171.78,-1.03,0.51,0.031700000000000006,0.09768,-0.37908000000000003,-0.008763,-0.018244,0.997969,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374510,171.78,-1.03,0.51,0.06237,0.09702000000000001,-0.43197,-0.008679,-0.018257,0.998516,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
20374530,171.78,-1.03,0.51,0.08949000000000001,0.07868,-0.38442000000000004,-0.008653,-0.017984,0.9983489999999999,31.127199172,121.476196289,0.0,0.0,100,6,5,0.0,0.0
